Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Protein families
J3SEZ3	PDE1_CROAD	reviewed	Venom phosphodiesterase 1 (PDE) (EC 3.6.1.-)		Crotalus adamanteus (Eastern diamondback rattlesnake)	851	Nucleotide pyrophosphatase/phosphodiesterase family
J3SBP3	PDE2_CROAD	reviewed	Venom phosphodiesterase 2 (PDE) (EC 3.6.1.-)		Crotalus adamanteus (Eastern diamondback rattlesnake)	810	Nucleotide pyrophosphatase/phosphodiesterase family
P0DQQ4	PDE_CRODO	reviewed	Venom phosphodiesterase CdcPDE (PDE) (EC 3.6.1.-)		Crotalus durissus collilineatus (Brazilian rattlesnake)	829	Nucleotide pyrophosphatase/phosphodiesterase family
W8E7D1	PDE_MACLB	reviewed	Venom phosphodiesterase (PDE) (VLPDE) (EC 3.6.1.-)		Macrovipera lebetina (Levantine viper) (Vipera lebetina)	851	Nucleotide pyrophosphatase/phosphodiesterase family
J3S836	VCO3_CROAD	reviewed	Venom factor (VF) (CVF-like) (Complement C3 homolog) [Cleaved into: VF alpha chain; VF gamma chain; VF beta chain]		Crotalus adamanteus (Eastern diamondback rattlesnake)	1652	Venom complement C3 homolog family
F8S0Z7	V5NTD_CROAD	reviewed	Snake venom 5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase)		Crotalus adamanteus (Eastern diamondback rattlesnake)	588	5'-nucleotidase family
P0DJJ5	V5NTD_GLOBB	reviewed	Snake venom 5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (Fragments)		Gloydius blomhoffii blomhoffii (Japanese mamushi) (Agkistrodon blomhoffii blomhoffii)	54	5'-nucleotidase family
B6EWW8	V5NTD_GLOBR	reviewed	Snake venom 5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase)		Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halys brevicaudus)	588	5'-nucleotidase family
Q6H3C8	PA2AF_TRIST	reviewed	Acidic phospholipase A2 Ts-A6 (svPLA2) (EC 3.1.1.4) (CTs-A6) (Phosphatidylcholine 2-acylhydrolase)		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P59171	PA2A5_ECHOC	reviewed	Acidic phospholipase A2 5 (svPLA2) (EC 3.1.1.4) (PLA2-Eoc79) (Phosphatidylcholine 2-acylhydrolase)		Echis ocellatus (Ocellated saw-scaled viper)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DM52	PA2B2_BOTPA	reviewed	Basic phospholipase A2 BnpTX-2 (BnPTx-II) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Bothrops pauloensis (Neuwied's lancehead) (Bothrops neuwiedi pauloensis)	35	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P86368	PA2B3_DABRR	reviewed	Basic phospholipase A2 3 (PLA23) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Daboia russelii (Russel's viper) (Vipera russelii)	121	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
A8CG89	PA2B1_DABRR	reviewed	Basic phospholipase A2 Drk-b1 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Daboia russelii (Russel's viper) (Vipera russelii)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
A8CG82	PA2B1_DABSI	reviewed	Basic phospholipase A2 DsM-b1/DsM-b1' (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
